t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
2.128,0.987525988,-0.017979658,0.390594118,0.531761929,0.023514528,0.036013245,-0.696589718,-1.063635028,-1.011040516,-0.018033587,0.305995601,0.531873099
2.144,0.993459837,-0.009678057,0.370239115,0.532466392,0.012662172,0.019409312,-0.694901257,-1.064936296,-1.006122008,-0.009731255,0.324662143,0.532469904
2.16,0.999080162,-0.001368911,0.350398149,0.532735871,0.001828277,0.00279118,-0.694223555,-1.065456198,-1.000908439,-0.001422269,0.343825406,0.532720326
2.176,1.004394938,0.006941304,0.331065139,0.532609818,-0.009002948,-0.01382899,-0.694559205,-1.065197806,-0.99539199,0.006887687,0.363494066,0.532587988
2.192,1.00941203,0.01524671,0.312232016,0.532125385,-0.019847308,-0.030439052,-0.695906916,-1.064159601,-0.989564721,0.015192343,0.3836749,0.532034216
2.208,1.01413916,0.023541991,0.293888992,0.531317446,-0.030720556,-0.047026799,-0.698261492,-1.062335487,-0.983418604,0.023484808,0.4043725,0.531018041
2.224,1.018583677,0.031821954,0.276025686,0.530218698,-0.041637794,-0.063579082,-0.701613579,-1.059715,-0.976945883,0.031757129,0.425587892,0.529496302
2.24,1.022753392,0.040083112,0.258627861,0.528859481,-0.052615561,-0.080084989,-0.705950244,-1.05628287,-0.970137831,0.040001878,0.447322383,0.527423388
2.256,1.026655249,0.04832122,0.241682885,0.52726818,-0.063668547,-0.096530902,-0.711253823,-1.052019949,-0.962986702,0.048209682,0.469570938,0.524751769
2.272,1.030296204,0.056532866,0.225176385,0.525471086,-0.074811671,-0.112903685,-0.717502316,-1.046902957,-0.955484533,0.056370819,0.492325931,0.521431871
2.288,1.033682979,0.064715031,0.209093294,0.523492533,-0.086059472,-0.129189807,-0.724668988,-1.040904869,-0.947623507,0.064474775,0.515575694,0.517412336
